'Case','Image','Detector','Descriptor','Matcher','Selector','Detector Duration (ms)','Descriptor Duration (ms)','Matching Duration (ms)','Keypoints','Mean Size','StdDev Size','Matches'
14,3,FAST,SIFT,BF,KNN,1.23595,14.6262,0.890596,423,7,0,297
14,4,FAST,SIFT,BF,KNN,1.24005,14.3227,0.792959,386,7,0,311
14,5,FAST,SIFT,BF,KNN,1.2473,14.4604,0.873023,414,7,0,291
14,6,FAST,SIFT,BF,KNN,1.25876,15.9704,1.16806,418,7,0,326
14,7,FAST,SIFT,BF,KNN,1.26779,14.0127,0.943606,406,7,0,315
14,8,FAST,SIFT,BF,KNN,1.28682,15.3647,0.984591,396,7,0,300
14,9,FAST,SIFT,BF,KNN,1.28397,15.1966,1.03666,401,7,0,301
15,1,BRISK,BRISK,BF,KNN,28.786,2.28877,0.357484,282,21.7853,14.5646,171
15,2,BRISK,BRISK,BF,KNN,27.7629,2.17418,0.396564,282,21.6509,13.8213,176
15,3,BRISK,BRISK,BF,KNN,28.0411,2.13999,0.371539,277,20.3582,12.6186,157
15,4,BRISK,BRISK,BF,KNN,28.3584,2.39892,0.361598,297,22.5911,14.856,176
15,5,BRISK,BRISK,BF,KNN,28.118,2.22313,0.371865,279,22.9442,15.8103,174
15,6,BRISK,BRISK,BF,KNN,27.7364,2.40939,0.358602,289,21.8014,14.6758,188
15,7,BRISK,BRISK,BF,KNN,27.8516,2.24865,0.369988,272,22.1472,15.0339,173
15,8,BRISK,BRISK,BF,KNN,28.4634,2.515,0.330079,266,22.5558,15.1888,171
15,9,BRISK,BRISK,BF,KNN,28.2879,2.07575,0.328377,254,22.0389,14.6671,184
16,1,BRISK,BRIEF,BF,KNN,28.4801,0.70291,0.345926,282,21.7853,14.5646,178
16,2,BRISK,BRIEF,BF,KNN,27.9684,0.69131,0.328942,282,21.6509,13.8213,205
16,3,BRISK,BRIEF,BF,KNN,28.1228,0.675121,0.344742,277,20.3582,12.6186,185
16,4,BRISK,BRIEF,BF,KNN,27.6886,0.718134,0.389996,297,22.5911,14.856,179
16,5,BRISK,BRIEF,BF,KNN,27.9666,0.673496,0.362493,279,22.9442,15.8103,183
16,6,BRISK,BRIEF,BF,KNN,28.0317,0.695813,0.331463,289,21.8014,14.6758,195
16,7,BRISK,BRIEF,BF,KNN,27.2271,0.665359,0.327866,272,22.1472,15.0339,207
16,8,BRISK,BRIEF,BF,KNN,27.0442,0.635384,0.332718,266,22.5558,15.1888,189
16,9,BRISK,BRIEF,BF,KNN,30.2892,0.745074,0.340068,254,22.0389,14.6671,183
17,1,BRISK,ORB,BF,KNN,29.622,8.32693,0.355556,282,21.7853,14.5646,160
17,2,BRISK,ORB,BF,KNN,29.6696,8.41677,0.410102,282,21.6509,13.8213,171
17,3,BRISK,ORB,BF,KNN,28.231,7.99413,0.313844,277,20.3582,12.6186,157
17,4,BRISK,ORB,BF,KNN,27.8332,8.34957,0.331354,297,22.5911,14.856,170
17,5,BRISK,ORB,BF,KNN,28.2077,8.32092,0.329152,279,22.9442,15.8103,154
17,6,BRISK,ORB,BF,KNN,27.9624,7.91077,0.334132,289,21.8014,14.6758,180
